"Result of an Examination into the State of Drainage of the Houses situate in the following Streets, in the Parish of St. James, Westminster, where so many Deaths from Cholera have taken place, as set forth in the Registrar-General's Returns for the Two Weeks ending the 2nd and 9th instant, but which does not include the Deaths that have taken place after removal from the Houses to the Hospitals, or those which occurred at the Workhouse.",,,,,,,,
Name of Street,No. of House,No. of Deaths.,Whether opposite Air Shaft.,Whether opposite untrapped Gully.,Condition of Dust Bin,"Description of Drainage, whether Brick or Pipe, and condition thereof.","Whether any Cesspools, and Number.",Remarks
,8,1,No,No,Good,Brick drains lately repaired,Uncertain,No knowledge of cesspool being destroyed.
Cambridge Street,2,3,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,3,1,No,No,Good,Brick drains,No,Appeared to be in good order.
,6,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
,10,5,No,No,Good,Old brick drains,"Yes, 1",Cesspool offensive and drainage bad.
,14,2,Yes,No,Good,Pipes laid down 3 years ago,No,Drainage effective.
Little Windmill Street,12,2,No,No,Good,Pipes laid down 3 years ago,No,Drainage effective.
,22,2,No,No,Good,Brick drains,Uncertain,No knowledge of cesspits being destroyed.
,24,1,No,No,Good,Brick drains,Uncertain,No knowledge of cesspits being destroyed.
,26,1,No,No,Good,Not ascertainable,Uncertain,Probably brick drains; bad smells occasionally; no knowledge of cesspools being destroyed
Silver Street,1,1,No,No,Good,Not ascertainable,Uncertain,Probably brick drains; no knowledge of cesspools being destroyed
,2,1,No,No,Good,Brick drains in good order,Uncertain,No knowledge of cesspits being destroyed.
,3,1,No,No,Good,Brick drains choked,Uncertain,No knowledge of cesspits being destroyed.
,6,1,No,No,Good,Not ascertainable,-,House shut up.
,8,1,No,No,Good,"Pipe drains, 6 months ago",No,Drainage effective.
,10,1,No,No,Good,Not ascertainable,No,Probably brick; appear to be in good order.
,16,3,Yes,Yes,Good,Brick drains,Uncertain,No knowledge of cesspits being destroyed.
,17,1,No,Yes,Good,"Pipe drains, 2 years old",No,Drainage effective.
,44,1,No,No,Good,Brick drains,No,-
Upper James Street,3,1,No,No,Good,Brick drains,No,-
,4,1,No,Near,Good,Brick drains,Uncertain,Bad smells occasionally; no knowledge of cesspool being destroyed.
Upper John Street,7,1,No,No,Good,Not ascertainable,Uncertain,Probably old brick drains; no knowledge of cesspools being destroyed.
Golden Square,32,3,No,Yes,Good,Brick drains in good order,No,Drains appear effective.
Brewer Street,1,4,Yes,No,Good,Brick and pipe drains,No,Drains appear in very good order.
Bridle Lane,12,1,No,No,Good,"Pipe drains, 2 years old",No,Drainage effective.
,19,2,No,No,-,-,-,House shut up.
William and Mary Yard,1,1,No,No,Good,Old brick drain defective,Uncertain,Bad smells; no knowledge of cesspool being destroyed.
,3,1,No,No,None,Not ascertainable,No,Drains appear in good order.
Little Putleney Street,4,1,No,No,Good,Brick drains repaired lately,No,Bad smells occasionally
,11,1,No,No,Good,"Pipe drains, 2 years old",No,Drainage effective.
,25,1,No,No,Good,"Pipe drains, 6 months ago",No,Drainage effective.
,32,1,No,No,Good,"Pipe drains, this summer",No,Drainage effective.
,38,1,No,No,Good,"Pipe drains, 6 months ago",No,Drainage effective.
Rupert Street,15,1,No,No,Good,"Brick drains, repaired 12 months ago",Uncertain,No knowledge of cesspool being destroyed.
,39,1,No,No,Good,"Pipe drains, lately",No,Drainage effective.
Wardour Street,87,1,No,No,Good,Not ascertainable,"Yes, 1",Probably old brick drains.
,89,1,No,No,Good,"Brick drains, repaired 6 months ago",No,Brick drains appear in good condition.
,91,1,No,No,Good,Brick drains,Uncertain,Drains appear to be in good condition; no knowledge of cesspool being destroyed.
,93,1,No,No,Good,"Pipe drains, 3 years old",No,Drainage effective.
,102,1,No,No,Good,"Pipe and brick, repaired 2 years ago",No,Drains appear good.
